State,District,D,R,,Comments,June Cook Ratings,Opposition Primary,
IL,IL-14,Underwood (i),Oberweis,,,Lean D,,
IL,IL-15,,,,,Safe R,,
IL,IL-16,,,,,Safe R,,
IL,IL-17,Bustos (i),King,,,Likely D,,
IL,IL-18,,,,,Safe R,,
IN,IN-01,,,,,Safe D,,
IN,IN-02,,,,,Safe R,,
IN,,,,,,Safe R,,
IN,IN-04,,,,,Safe R,,
IN,IN-05,Hale,Spartz,,,Toss-Up,,
IN,IN-06,,,,,Safe R,,
IN,IN-07,,,,,Safe D,,
IN,IN-08,,,,,Safe R,,
IN,IN-09,,,,,Safe R,,
KS,KS-01,,,,,Safe R,,
KS,KS-02,,Watkins (i),,,Lean R,August 4 primary,
KS,KS-03,Davids (i),,,,Lean D,,
KS,KS-04,,,,,Safe R,,
KY,KY-01,,,,,Safe R,,
KY,KY-02,,,,,Safe R,,
KY,KY-03,,,,,Safe D,,
KY,KY-04,,,,,Safe R,,
KY,KY-05,,,,,Safe R,,
KY,KY-06,Hicks,Barr (i),,,Likely R,,
LA,LA-01,,,,,Safe R,,
LA,LA-02,,,,,Safe D,,
LA,LA-03,,,,,Safe R,,
LA,LA-04,,,,,Safe R,,
LA,LA-05,,,,,Safe R,,
LA,LA-06,,,,,Safe R,,
MA,MA-01,,,,,Safe D,,
MA,MA-02,,,,,Safe D,,
MA,MA-03,,,,,Safe D,,
MA,MA-04,,,,,Safe D,,
MA,MA-05,,,,,Safe D,,
MA,MA-06,,,,,Safe D,,
MA,MA-07,,,,,Safe D,,
MA,MA-08,,,,,Safe D,,
MA,MA-09,,,,,Safe D,,
MD,MD-01,,,,,Safe R,,
MD,MD-02,,,,,Safe D,,
MD,MD-03,,,,,Safe D,,
MD,MD-04,,,,,Safe D,,
MD,MD-05,,,,,Safe D,,
MD,MD-06,,,,,Safe D,,
MD,MD-07,,,,,Safe D,,
MD,MD-08,,,,,Safe D,,
ME,ME-01,,,,,Safe D,,
ME,ME-02,Golden (i),Crafts,,This election is conducted by ranked-choice voting. ,Toss-Up,,
MI,MI-01,,,,,Safe R,,
MI,MI-02,,,,,Safe R,,
MI,MI-03,,,,Amash (i) left the GOP in July 2019. He is still running for re-election but as an independent. ,Lean R,August 4 primary,
MI,MI-04,,,,,Safe R,,
MI,MI-05,,,,,Safe D,,
MI,MI-06,,Upton (i),,,Likely R,August 4 primary,
MI,MI-07,,,,,Safe R,,
MI,MI-08,Slotkin (i),,,,Lean D,August 4 primary,
MI,MI-09,,,,,Safe D,,
MI,MI-10,,,,,Safe R,,
MI,MI-11,Stevens (i),,,,Lean D,August 4 primary,
MI,MI-12,,,,,Safe D,,
MI,MI-13,,,,,Safe D,,
MI,MI-14,,,,,Safe D,,
MN,MN-01,,Hagedorn (i),,,Lean R,August 11 primary,
MN,MN-02,Craig (i),,,,Lean D,August 11 primary,
MN,MN-03,Phillips (i),,,,Solid D,August 11 primary,
MN,MN-04,,,,,Safe D,,
MN,MN-05,,,,,Safe D,,
MN,MN-06,,,,,Safe R,,
MN,MN-07,Peterson (i),,,,Toss-Up,August 11 primary,
MN,MN-08,,Stauber (i),,,Likely R,August 11 primary,
MO,MO-01,,,,,Safe D,,
MO,MO-02,,Wagner(i),,,Lean R,August 4 primary,
MO,MO-03,,,,,Safe R,,
MO,MO-04,,,,,Safe R,,
MO,MO-05,,,,,Safe D,,
MO,MO-06,,,,,Safe R,,
MO,MO-07,,,,,Safe R,,
MO,MO-08,,,,,Safe R,,
MS,MS-01,,,,,Safe R,,
MS,MS-02,,,,,Safe D,,
MS,MS-03,,,,,Safe R,,
MS,MS-04,,,,,Safe R,,
MT,MT-01,Williams,Rosendale,,,Lean R,,
NC,NC-01,,,,,Safe D,,
NC,NC-02,Ross,Swain,,,Likely D,,
NC,NC-03,,,,,Safe R,,
NC,NC-04,,,,,Safe D,,
NC,NC-05,,,,,Safe R,,
NC,NC-06,Manning,Haywood,,,Likely D,,
NC,NC-07,,,,,Safe R,,
NC,NC-08,Timmons-Goodson,Hudson (i),,,Lean R,,
NC,NC-09,Wallace,Bishop (i),,,Likely R,,
NC,NC-10,,,,,Safe R,,
NC,NC-11,,,,,Safe R,,
NC,NC-12,,,,,Safe D,,
NC,NC-13,,,,,Safe R,,
ND,ND-01,,,,,Safe R,,
NE,NE-01,,,,,Safe R,,
NE,NE-02,Eastman,Bacon (i),,,Toss-Up,,
NE,NE-03,,,,,Safe R,,
NH,NH-01,Pappas (i),,,,Lean D,September 8 primary,
NH,NH-02,,,,,Safe D,,
NJ,NJ-01,,,,,Safe D,,
NJ,NJ-02,Kennedy,Van Drew (i),,"Van Drew was elected in 2018 as Democrat, but has since switched parties.",Lean R,,
NJ,NJ-03,Kim (i),Richter,,,Toss-Up,,
NJ,NJ-04,,,,,Safe R,,
NJ,NJ-05,Gottheimer (i),Pallotta,,,Likely D,,
NJ,NJ-06,,,,,Safe D,,
NJ,NJ-07,Malinowski (i),Kean Jr.,,,Lean D,,
NJ,NJ-08,,,,,Safe D,,
