State,State House Seat,State Senate Seat
ME,"ME-HD-7, ME-HD-10, ME-HD-46, ME-HD-53, ME-HD-58, ME-HD-66, ME-HD-69, ME-HD-74, ME-HD-76, ME-HD-78, ME-HD-82, ME-HD-84, ME-HD-86, ME-HD-87, ME-HD-88, ME-HD-89, ME-HD-91, ME-HD-95, ME-HD-98, ME-HD-99, ME-HD-106, ME-HD-107, ME-HD-115, ME-HD-117, ME-HD-120, ME-HD-128, ME-HD-131, ME-HD-132, ME-HD-138, ME-HD-140, ME-HD-143, ME-HD-147","ME-SD-1, ME-SD-2, ME-SD-11, ME-SD-13, ME-SD-16, ME-SD-20, ME-SD-21, ME-SD-30, ME-SD-34"
MA,"MA-HD-1st Barnstable, MA-HD-2nd Barnstable, MA-HD-3rd Barnstable, MA-HD-3rd Bristol, MA-HD-1st Essex, MA-HD-2nd Essex, MA-HD-13th Essex, MA-HD-4th Hampden, MA-HD-19th Middlesex, MA-HD-1st Plymouth, MA-HD-5th Plymouth, MA-HD-12th Plymouth, MA-HD-2nd Worcester, MA-HD-8th Worcester","MA-SD-Norfolk, Bristol & Middlesex, MA-SD-Plymouth & Barnstable, MA-SD-Plymouth & Norfolk, MA-SD-Second Hampden & Hampshire, MA-SD-Worcester & Middlesex"
MI,"MI-HD-19, MI-HD-20, MI-HD-38, MI-HD-39, MI-HD-41, MI-HD-45, MI-HD-61, MI-HD-62, MI-HD-71, MI-HD-98, MI-HD-104, MI-HD-110",
MN,"MN-HD-05A, MN-HD-05B, MN-HD-14A, MN-HD-33B, MN-HD-36A, MN-HD-37B, MN-HD-38B, MN-HD-39B, MN-HD-47B, MN-HD-48B, MN-HD-53B, MN-HD-54A,MN-HD-54B, MN-HD-55A, MN-HD-56A, MN-HD-56B, MN-HD-57B","MN-SD-05, MN-SD-14, MN-SD-20, MN-SD-26, MN-SD-27, MN-SD-37, MN-SD-38, MN-SD-48, MN-SD-54, MN-SD-56, MN-SD-58"
MO,"MO-HD-14, MO-HD-16, MO-HD-30, MO-HD-34, MO-HD-35, MO-HD-65, MO-HD-70, MO-HD-94, MO-HD-99, MO-HD-135","MO-SD-1, MO-SD-15, MO-SD-17, MO-SD-19"
MT,"MT-HD-3, MT-HD-44, MT-HD-51, MT-HD-52, MT-HD-64, MT-HD-92, MT-HD-93, MT-HD-96","MT-SD-21, MT-SD-25, MT-SD-26, MT-SD-38, MT-SD-39, MT-SD-47"
NC,"NC-HD-1, NC-HD-9, NC-HD-20, NC-HD-24, NC-HD-25, NC-HD-35, NC-HD-37, NC-HD-43, NC-HD-45, NC-HD-51, NC-HD-59, NC-HD-63, NC-HD-66, NC-HD-74, NC-HD-82, NC-HD-83, NC-HD-93, NC-HD-98, NC-HD-103, NC-HD-119","NC-SD-1, NC-SD-7, NC-SD-9, NC-SD-11, NC-SD-17, NC-SD-18, NC-SD-19, NC-SD-24, NC-SD-27"
ND,,"ND-SD-18, ND-SD-24, ND-SD-26, ND-SD-42, ND-SD-44, ND-SD-46"
NE,,"NE-SD-3, NE-SD-15, NE-SD-31, NE-SD-35, NE-SD-45"
NV,"NV-HD-2, NV-HD-4, NV-HD-29, NV-HD-31, NV-HD-37","NV-SD-5, NV-SD-6, NV-SD-15"
NM,"NM-HD-4, NM-HD-15, NM-HD-20, NM-HD-22, NM-HD-27, NM-HD-28, NM-HD-53, NM-HD-57, NM-HD-63",
