state,district,favored,confidence,redistricting_voter_power,anti_gerrymandering_party,abs_power
MN,MN-HD-07B,D,Safe,-2.23E-07,R,2.22506E-07
KS,KS-SD-27,R,Safe,2.22E-07,D,2.21904E-07
MN,MN-HD-24B,R,Safe,-2.21E-07,R,2.21322E-07
NC,NC-SD-16,D,Safe,2.20E-07,D,2.2025E-07
IL,IL-HD-83,D,Safe,-2.20E-07,R,2.2011E-07
IL,IL-HD-77,D,Safe,-2.20E-07,R,2.19767E-07
MN,MN-HD-21A,R,Safe,-2.20E-07,R,2.19556E-07
MN,MN-HD-02A,R,Safe,-2.19E-07,R,2.18892E-07
NC,NC-SD-28,D,Safe,2.19E-07,D,2.18515E-07
MN,MN-HD-59B,D,Safe,-2.18E-07,R,2.17617E-07
IN,IN-HD-33,R,Safe,2.15E-07,D,2.15476E-07
MN,MN-HD-14B,D,Safe,-2.15E-07,R,2.15133E-07
MN,MN-HD-46A,D,Safe,-2.14E-07,R,2.13596E-07
MN,MN-HD-07A,D,Safe,-2.12E-07,R,2.12098E-07
MN,MN-HD-13A,R,Safe,-2.12E-07,R,2.11724E-07
NV,NV-HD-2,FALSE,Toss-Up,-2.10E-07,R,2.1034E-07
PA,PA-HD-127,D,Safe,-2.10E-07,R,2.09649E-07
FL,FL-SD-33,D,Safe,2.03E-07,D,2.03148E-07
MN,MN-HD-12A,R,Safe,-2.02E-07,R,2.01863E-07
MN,MN-HD-61A,D,Safe,-2.00E-07,R,1.99754E-07
IN,IN-HD-29,R,Safe,1.98E-07,D,1.9846E-07
NC,NC-SD-15,D,Safe,1.98E-07,D,1.98278E-07
MN,MN-HD-39A,R,Safe,-1.96E-07,R,1.96358E-07
NC,NC-SD-37,D,Safe,1.96E-07,D,1.96066E-07
MN,MN-HD-06B,D,Safe,-1.95E-07,R,1.95474E-07
CT,CT-SD-1,D,Safe,-1.93E-07,R,1.92603E-07
CT,CT-SD-10,D,Safe,-1.89E-07,R,1.88667E-07
FL,FL-SD-35,D,Safe,1.86E-07,D,1.86004E-07
MN,MN-HD-24A,R,Safe,-1.86E-07,R,1.85531E-07
GA,GA-HD-107,D,Likely,1.85E-07,D,1.85449E-07
GA,GA-HD-59,D,Likely,1.84E-07,D,1.84068E-07
PA,PA-HD-172,D,Safe,-1.84E-07,R,1.83827E-07
MN,MN-HD-23A,R,Safe,-1.84E-07,R,1.83678E-07
PA,PA-HD-184,D,Safe,-1.83E-07,R,1.83435E-07
IN,IN-HD-49,R,Safe,1.83E-07,D,1.82713E-07
WI,WI-HD-70,R,Safe,1.82E-07,D,1.81808E-07
IL,IL-HD-85,D,Safe,-1.81E-07,R,1.80832E-07
MN,MN-HD-34A,R,Safe,-1.79E-07,R,1.79092E-07
IN,IN-HD-93,R,Safe,1.78E-07,D,1.77819E-07
MN,MN-HD-10A,R,Safe,-1.77E-07,R,1.77126E-07
CT,CT-SD-27,D,Safe,-1.77E-07,R,1.76971E-07
IN,IN-HD-17,R,Safe,1.76E-07,D,1.7579E-07
IL,IL-HD-17,D,Safe,-1.76E-07,R,1.75594E-07
WI,WI-HD-56,R,Safe,1.75E-07,D,1.74881E-07
IN,IN-HD-51,R,Safe,1.74E-07,D,1.73661E-07
IN,IN-HD-48,R,Safe,1.73E-07,D,1.73038E-07
IN,IN-HD-38,R,Safe,1.73E-07,D,1.72798E-07
IN,IN-HD-16,R,Safe,1.71E-07,D,1.71003E-07
PA,PA-HD-190,D,Safe,-1.71E-07,R,1.70937E-07
IN,IN-HD-91,R,Safe,1.71E-07,D,1.70657E-07
IN,IN-HD-63,R,Safe,1.70E-07,D,1.702E-07
IN,IN-HD-22,R,Safe,1.70E-07,D,1.70004E-07
IN,IN-HD-25,R,Safe,1.69E-07,D,1.68854E-07
WI,WI-HD-52,R,Safe,1.68E-07,D,1.67645E-07
CT,CT-SD-3,D,Safe,-1.67E-07,R,1.66522E-07
WI,WI-HD-34,R,Safe,1.65E-07,D,1.65203E-07
PA,PA-HD-159,D,Safe,-1.65E-07,R,1.64875E-07
IN,IN-HD-69,R,Safe,1.65E-07,D,1.64725E-07
IN,IN-HD-24,R,Safe,1.65E-07,D,1.64579E-07
WI,WI-HD-63,R,Safe,1.64E-07,D,1.63808E-07
IN,IN-HD-64,R,Safe,1.64E-07,D,1.63686E-07
IN,IN-HD-85,R,Safe,1.64E-07,D,1.63525E-07
WI,WI-HD-33,R,Safe,1.63E-07,D,1.63206E-07
IN,IN-HD-18,R,Safe,1.63E-07,D,1.62948E-07
PA,PA-HD-74,D,Safe,-1.62E-07,R,1.62184E-07
IL,IL-HD-35,D,Safe,-1.62E-07,R,1.62064E-07
IN,IN-HD-83,R,Safe,1.62E-07,D,1.619E-07
IN,IN-HD-30,R,Safe,1.61E-07,D,1.61208E-07
IN,IN-HD-50,R,Safe,1.61E-07,D,1.60932E-07
IN,IN-HD-65,R,Safe,1.60E-07,D,1.60429E-07
IN,IN-HD-32,R,Safe,1.60E-07,D,1.60249E-07
WI,WI-HD-35,R,Safe,1.60E-07,D,1.59963E-07
CT,CT-SD-11,D,Safe,-1.60E-07,R,1.59795E-07
IN,IN-HD-78,R,Safe,1.59E-07,D,1.59378E-07
IN,IN-HD-40,R,Safe,1.59E-07,D,1.5932E-07
FL,FL-SD-11,D,Safe,1.59E-07,D,1.58657E-07
PA,PA-HD-182,D,Safe,-1.58E-07,R,1.57906E-07
FL,FL-SD-29,D,Safe,1.58E-07,D,1.5763E-07
WI,WI-HD-41,R,Safe,1.58E-07,D,1.57626E-07
PA,PA-HD-95,D,Safe,-1.57E-07,R,1.56825E-07
IN,IN-HD-41,R,Safe,1.57E-07,D,1.56799E-07
CT,CT-SD-15,D,Safe,-1.56E-07,R,1.56032E-07
IL,IL-HD-38,D,Safe,-1.55E-07,R,1.55036E-07
KY,KY-HD-32,D,Lean,1.54E-07,D,1.53989E-07
PA,PA-HD-70,D,Safe,-1.53E-07,R,1.52855E-07
CT,CT-SD-25,D,Safe,-1.53E-07,R,1.52578E-07
WI,WI-HD-67,R,Safe,1.52E-07,D,1.52144E-07
PA,PA-HD-154,D,Safe,-1.52E-07,R,1.52069E-07
PA,PA-HD-141,D,Safe,-1.50E-07,R,1.50192E-07
NM,NM-SD-19,R,Safe,-1.50E-07,R,1.50047E-07
MN,MN-HD-35B,R,Safe,-1.50E-07,R,1.50026E-07
PA,PA-HD-126,D,Safe,-1.49E-07,R,1.49128E-07
PA,PA-HD-140,D,Safe,-1.49E-07,R,1.48969E-07
PA,PA-HD-166,D,Safe,-1.49E-07,R,1.48779E-07
OR,OR-HD-19,R,Likely,-1.49E-07,R,1.48532E-07
WI,WI-SD-14,R,Safe,1.46E-07,D,1.46146E-07
CT,CT-SD-2,D,Safe,-1.46E-07,R,1.45863E-07
WI,WI-HD-6,R,Safe,1.46E-07,D,1.45707E-07
PA,PA-HD-21,D,Safe,-1.45E-07,R,1.45469E-07
GA,GA-SD-27,R,Safe,1.44E-07,D,1.44401E-07
MN,MN-HD-22B,R,Safe,-1.44E-07,R,1.44071E-07
PA,PA-HD-133,D,Safe,-1.43E-07,R,1.4316E-07
PA,PA-HD-135,D,Safe,-1.43E-07,R,1.42646E-07
PA,PA-HD-194,D,Safe,-1.42E-07,R,1.4243E-07
PA,PA-HD-112,D,Safe,-1.42E-07,R,1.42366E-07
WI,WI-HD-25,R,Safe,1.42E-07,D,1.42234E-07
IL,IL-HD-19,D,Safe,-1.41E-07,R,1.41439E-07
PA,PA-HD-113,D,Safe,-1.41E-07,R,1.41103E-07
UT,UT-HD-51,R,Safe,1.40E-07,D,1.40236E-07
UT,UT-HD-14,R,Safe,1.40E-07,D,1.40043E-07
UT,UT-HD-4,R,Safe,1.40E-07,D,1.40011E-07
PA,PA-HD-77,D,Safe,-1.37E-07,R,1.36957E-07
PA,PA-HD-3,D,Safe,-1.37E-07,R,1.36565E-07
MN,MN-HD-58B,R,Safe,-1.36E-07,R,1.365E-07
TX,TX-SD-1,R,Safe,1.36E-07,D,1.3644E-07
PA,PA-HD-45,D,Safe,-1.36E-07,R,1.35852E-07
PA,PA-HD-148,D,Safe,-1.36E-07,R,1.35851E-07
PA,PA-HD-118,D,Safe,-1.36E-07,R,1.35772E-07
IN,IN-HD-81,R,Lean,1.35E-07,D,1.35127E-07
PA,PA-HD-114,D,Safe,-1.35E-07,R,1.34971E-07
IL,IL-HD-72,D,Safe,-1.34E-07,R,1.34153E-07
PA,PA-HD-16,D,Safe,-1.34E-07,R,1.34017E-07
MN,MN-HD-15B,R,Safe,-1.33E-07,R,1.33104E-07
CT,CT-SD-5,D,Safe,-1.32E-07,R,1.32143E-07
GA,GA-SD-30,R,Safe,1.32E-07,D,1.3172E-07
TX,TX-SD-22,R,Safe,1.30E-07,D,1.30132E-07
IN,IN-HD-72,R,Likely,1.30E-07,D,1.29651E-07
