district,geoid
MA-HD-1st Hampden,25102
MA-HD-4th Bristol,25072
MA-HD-18th Worcester,25155
MA-HD-1st Bristol,25069
MA-HD-1st Worcester,25203
MA-HD-3rd Hampden,25104
MA-HD-7th Worcester,25209
MA-HD-6th Worcester,25208
MA-HD-8th Plymouth,25179
MA-HD-20th Middlesex,25137
MA-SD-Plymouth & Barnstable,25039
MA-HD-9th Essex,25091
MA-SD-Worcester & Middlesex,25009
MA-SD-Plymouth & Norfolk,25034
MA-SD-Worcester & Norfolk,25012
MA-SD-First Essex & Middlesex,25020
